molecule_chembl_id,canonical_smiles,standard_value,pIC50,Fingerprint,predicted_pIC50
CHEMBL10,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,64500.0,4.1904402853647325,[0. 0. 0. ... 0. 0. 0.],5.652392090124704
CHEMBL100714,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,2800.0,5.552841968657781,[0. 0. 0. ... 0. 0. 0.],5.863619091829854
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,451440.0,3.345399962738015,[0. 1. 0. ... 0. 0. 0.],3.836503713513965
CHEMBL101253,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,6819.233333333334,5.166264449070633,[0. 0. 0. ... 0. 0. 0.],5.159108167962171
CHEMBL101581,COc1cc2nccc(Oc3cccc(Br)c3)c2cc1OC,2500.0,5.6020599913279625,[0. 0. 0. ... 0. 0. 0.],5.435948057175787
CHEMBL1016,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,3276.9,5.484536811626732,[0. 0. 0. ... 0. 0. 0.],5.439642761941468
CHEMBL101683,O=C(Nc1ccc(Cl)cc1)c1ccccc1NCc1ccncc1,7300.0,5.136677139879544,[0. 0. 0. ... 0. 0. 0.],5.216654125547231
CHEMBL102301,COc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccc5c(c4)OCO5)CC3)c2cc1OC,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.343634351643698
CHEMBL102346,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC,30000.0,4.522878745280337,[0. 0. 0. ... 0. 0. 0.],5.159886690416544
CHEMBL102651,C[C@@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,419.0,6.377785977033705,[0. 1. 0. ... 0. 0. 0.],6.459935997777202
CHEMBL102726,c1ccc(CNc2ncnc3ccccc23)cc1,320.0,6.494850021680094,[0. 0. 0. ... 0. 0. 0.],6.174953268168146
CHEMBL103014,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1,538.0,6.269217724333611,[0. 1. 0. ... 0. 0. 0.],6.358701902896544
CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.486653502890305
CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,2050.002,5.688245715242519,[0. 0. 0. ... 0. 0. 0.],7.077947029772117
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,11900.0,4.924453038607469,[0. 0. 0. ... 0. 0. 0.],6.097703643509797
CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O,3300.0,5.481486060122112,[0. 0. 0. ... 0. 0. 0.],5.351575199855065
CHEMBL103864,C[C@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1,50.0,7.301029995663981,[0. 1. 0. ... 0. 0. 0.],6.459935997777202
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,69421.0,4.158509134666999,[0. 0. 0. ... 0. 0. 0.],5.0501719467296455
CHEMBL104067,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C(C)C)cc4)CC3)c2cc1OC,30000.0,4.522878745280337,[0. 1. 0. ... 0. 0. 0.],4.343817734858104
CHEMBL104153,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,220.0,6.657577319177793,[0. 0. 0. ... 0. 0. 0.],6.035491224021928
CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,210.0,6.6777807052660805,[0. 0. 0. ... 0. 0. 0.],6.278270719980515
CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC,3700.0,5.431798275933005,[0. 0. 0. ... 0. 0. 0.],5.273587492342273
CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21,910.0,6.040958607678906,[0. 0. 0. ... 0. 0. 0.],6.1410352077207735
CHEMBL105053,C[C@@H](Nc1[nH]cnc2nc(-c3ccccc3)cc1-2)c1ccccc1,6.65,8.177178354696895,[0. 1. 0. ... 0. 0. 0.],7.357340871612966
CHEMBL105436,COc1cccc(-c2cn(-c3ccc(CCN(C)CCO)cc3)c3ncnc(N)c23)c1,5150.0,5.288192770958808,[0. 0. 0. ... 0. 0. 0.],5.606828196546169
CHEMBL106232,CN1CCN(CCCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1,4500.0,5.346787486224656,[0. 0. 0. ... 0. 0. 0.],5.695496770990732
CHEMBL106966,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(C#N)cc4)CC3)c2cc1OC,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.05919788527468
CHEMBL107472,CNc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,7500.0,5.1249387366083,[0. 0. 0. ... 0. 0. 0.],5.349798685276459
CHEMBL1077068,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3ncccn3)cc2)=N1,88300.0,4.054039296422431,[0. 0. 0. ... 0. 0. 0.],4.725223371378247
CHEMBL1077069,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3nc(C)cc(C)n3)cc2)=N1,79800.0,4.09799710864927,[0. 0. 0. ... 0. 0. 0.],4.208767420215312
CHEMBL1077070,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(Nc2ccc(S(=O)(=O)Nc3cc(C)on3)cc2)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.407903999859821
CHEMBL1077085,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3cccs3)SC2=S)=N1,80600.0,4.09366495819491,[0. 0. 0. ... 0. 0. 0.],4.28660259797862
CHEMBL1077086,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccccc3)SC2=S)=N1,100000.0,4.0,[0. 0. 0. ... 0. 0. 0.],4.329880775821412
CHEMBL1077095,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN)=N1,47900.0,4.319664486585436,[0. 0. 0. ... 0. 0. 0.],4.09715620558995
CHEMBL1077107,CC1=C(C(=O)Nc2cccc([N+](=O)[O-])c2)C(c2ccc(O)cc2O)NC(NN2C(=O)/C(=C\c3ccco3)SC2=S)=N1,99300.0,4.0030507515046185,[0. 0. 0. ... 0. 0. 0.],4.27854649635984
CHEMBL1077291,O=C1Nc2ccc(F)cc2/C1=C1/Nc2ccccc2/C1=N\O,10000.0,5.0,[0. 0. 0. ... 0. 0. 0.],4.980447489011274
CHEMBL1079742,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,126.75,6.897052031994626,[0. 0. 0. ... 0. 0. 0.],6.247731317671724
CHEMBL1080271,CCN(CC)CCNC(=O)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,43610.0,4.360413913326574,[0. 0. 0. ... 0. 0. 0.],4.959148320396929
CHEMBL1080272,O=C(NCCN1CCCC1)c1cc2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2[nH]1,12570.0,4.900664722314042,[0. 0. 0. ... 0. 0. 0.],4.971308988514136
CHEMBL1080506,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,8825.0,5.054285285940139,[0. 0. 0. ... 0. 0. 0.],5.275541992218756
CHEMBL1080812,Cc1c(C(=O)NCCN2CCOCC2)[nH]c2cnnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,5433.5,5.264920328603401,[0. 0. 0. ... 0. 0. 0.],5.443561545271201
CHEMBL1080815,Clc1cccc(Nc2ncnc3ccc(Cl)cc23)c1,2700.0,5.568636235841012,[0. 0. 0. ... 0. 0. 0.],6.352440065278213
CHEMBL1080990,CCOC(=O)c1[nH]c(C)c2cnnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,5605.0,5.251424383069008,[0. 0. 0. ... 0. 0. 0.],5.482585461640757
